id,type,source,target,publication_id,person_id,author_position,is_corresponding,sort_order
authored_by:publication:W2781525129->person:A5009198168,authored_by,publication:W2781525129,person:A5009198168,W2781525129,A5009198168,last,0,2
authored_by:publication:W2889646458->person:A5064215217,authored_by,publication:W2889646458,person:A5064215217,W2889646458,A5064215217,first,1,0
authored_by:publication:W2889646458->person:A5051830072,authored_by,publication:W2889646458,person:A5051830072,W2889646458,A5051830072,middle,0,1
authored_by:publication:W2889646458->person:A5057880586,authored_by,publication:W2889646458,person:A5057880586,W2889646458,A5057880586,middle,0,2
authored_by:publication:W2889646458->person:A5047300895,authored_by,publication:W2889646458,person:A5047300895,W2889646458,A5047300895,middle,0,3
authored_by:publication:W2889646458->person:A5110967014,authored_by,publication:W2889646458,person:A5110967014,W2889646458,A5110967014,middle,0,4
authored_by:publication:W2889646458->person:A5009198168,authored_by,publication:W2889646458,person:A5009198168,W2889646458,A5009198168,last,0,5
authored_by:publication:W2272984102->person:A5083719308,authored_by,publication:W2272984102,person:A5083719308,W2272984102,A5083719308,first,1,0
authored_by:publication:W2272984102->person:A5073808064,authored_by,publication:W2272984102,person:A5073808064,W2272984102,A5073808064,middle,0,1
authored_by:publication:W2272984102->person:A5064186655,authored_by,publication:W2272984102,person:A5064186655,W2272984102,A5064186655,middle,0,2
authored_by:publication:W2272984102->person:A5104832272,authored_by,publication:W2272984102,person:A5104832272,W2272984102,A5104832272,middle,0,3
authored_by:publication:W2272984102->person:A5004337669,authored_by,publication:W2272984102,person:A5004337669,W2272984102,A5004337669,middle,0,4
authored_by:publication:W2272984102->person:A5064215217,authored_by,publication:W2272984102,person:A5064215217,W2272984102,A5064215217,middle,0,5
authored_by:publication:W2272984102->person:A5009198168,authored_by,publication:W2272984102,person:A5009198168,W2272984102,A5009198168,middle,0,6
authored_by:publication:W2272984102->person:A5004937788,authored_by,publication:W2272984102,person:A5004937788,W2272984102,A5004937788,middle,0,7
authored_by:publication:W2272984102->person:A5100685161,authored_by,publication:W2272984102,person:A5100685161,W2272984102,A5100685161,last,0,8
authored_by:publication:W2235523093->person:A5047300895,authored_by,publication:W2235523093,person:A5047300895,W2235523093,A5047300895,first,1,0
authored_by:publication:W2235523093->person:A5015181760,authored_by,publication:W2235523093,person:A5015181760,W2235523093,A5015181760,middle,0,1
authored_by:publication:W2235523093->person:A5009198168,authored_by,publication:W2235523093,person:A5009198168,W2235523093,A5009198168,last,0,2
authored_by:publication:W2917837889->person:A5110967014,authored_by,publication:W2917837889,person:A5110967014,W2917837889,A5110967014,first,1,0
authored_by:publication:W2917837889->person:A5064215217,authored_by,publication:W2917837889,person:A5064215217,W2917837889,A5064215217,middle,0,1
authored_by:publication:W2917837889->person:A5047300895,authored_by,publication:W2917837889,person:A5047300895,W2917837889,A5047300895,middle,0,2
