id,display_name,orcid
A5041210487,Edgar Erdfelder,https://orcid.org/0000-0003-1032-3981
A5056263250,Albert-Georg Lang,
A5000202082,Axel Buchner,https://orcid.org/0000-0003-4529-3444
A5066213576,Kristopher J. Preacher,https://orcid.org/0000-0003-4099-3636
A5029232704,H.J. Eysenck,
A5108520736,Claude E. Shannon,
A5024677155,Marry L. McHugh,
A5103364748,EJ Wood,
A5109290855,George L. Ellman,
A5014930584,K. Diane Courtney,https://orcid.org/0009-0004-1877-9195
A5053435230,Valentino Andres,
A5111535679,Robert M. Featherstone,
A5003565243,John M. Chirgwin,
A5109189964,Alan Przybyla,
A5038396804,Raymond J. MacDonald,https://orcid.org/0000-0002-8576-766X
A5036382303,William J. Rutter,
A5002901852,Shifu Chen,https://orcid.org/0000-0001-5799-653X
A5052814282,Yanqing Zhou,https://orcid.org/0000-0002-9319-2579
A5037446400,Yaru Chen,https://orcid.org/0000-0003-2549-8880
A5100755117,Jia Gu,https://orcid.org/0000-0001-7498-9892
A5014255302,Paul Theodor Pyl,https://orcid.org/0000-0002-7651-883X
A5088404965,Torsten Seemann,https://orcid.org/0000-0001-6046-610X
A5027039912,Anthony Bolger,
A5068353394,Marc Lohse,https://orcid.org/0009-0005-7498-7279
A5011858960,Björn Usadel,https://orcid.org/0000-0003-0921-8041
A5022244006,Yang Liao,
A5046781938,Matthew D. Kearse,
A5022923330,Richard Moir,
A5033023543,Amy Wilson,https://orcid.org/0000-0003-2789-0480
A5056633769,Steven Stones-Havas,
A5112601052,Matthew Cheung,
A5076410128,Shane Sturrock,
A5033252568,Simon Buxton,
A5110792587,Alex Cooper,
A5003452560,Sidney Markowitz,
A5042879860,Chris Duran,
A5031270105,Tobias Thierer,
A5078003144,Bruce Ashton,
A5020597078,Peter Meintjes,
A5079724732,Alexei J. Drummond,https://orcid.org/0000-0003-4454-2576
A5019977651,Alexander Dobin,https://orcid.org/0000-0002-4115-9128
A5111593857,Carrie Davis,
A5029421561,Felix Schlesinger,
A5111957142,Jörg Drenkow,
A5027700148,Chris Zaleski,
A5071496329,Sonali Jha,
A5026426674,Philippe Batut,https://orcid.org/0000-0003-4250-0663
A5026460408,Mark Chaisson,https://orcid.org/0000-0001-5395-1457
A5067538373,T Gingeras,https://orcid.org/0000-0001-9106-3573
A5038201103,Petr Danecek,https://orcid.org/0000-0002-4159-1666
A5047245152,Adam Auton,https://orcid.org/0000-0002-1630-1225
A5039983345,Cornelis A. Albers,
A5029475781,Eric Banks,https://orcid.org/0000-0001-9615-2372
A5055476069,Mark A. DePristo,https://orcid.org/0000-0001-9928-045X
A5062526316,Gerton Lunter,https://orcid.org/0000-0002-3798-2058
A5085914713,Stephen T. Sherry,https://orcid.org/0000-0002-7982-076X
A5000481707,Gil McVean,https://orcid.org/0000-0002-5012-4162
W2149992227-person-12,1000 Genomes Project Analysis Group,
A5079803961,Aaron R. Quinlan,https://orcid.org/0000-0003-1756-0859
A5026920706,Ira M. Hall,https://orcid.org/0000-0003-4442-6655
A5029455059,Mark D. Robinson,https://orcid.org/0000-0002-3048-5518
A5034469657,Davis J. McCarthy,https://orcid.org/0000-0002-2218-6833
A5030402857,Pablo Librado,https://orcid.org/0000-0001-5974-2189
A5101768262,Julio Rozas,https://orcid.org/0000-0002-6839-9148
A5100338825,Heng Li,https://orcid.org/0000-0003-4874-2874
A5054867399,Robert E. Handsaker,https://orcid.org/0000-0002-3128-3547
A5090190126,Alec Wysoker,
A5057927341,Tim Fennell,
A5088950998,Jue Ruan,https://orcid.org/0000-0003-3713-3192
A5090073148,Nils Homer,
A5078559681,Gonçalo R. Abecasis,https://orcid.org/0000-0003-1509-1825
W2108234281-person-9,1000 Genome Project Data Processing Subgroup,
A5044561793,Mark Larkin,
A5041987677,Gordon Blackshields,https://orcid.org/0000-0003-2114-9958
A5021921687,Nigel P. Brown,https://orcid.org/0000-0002-5164-4186
W2137015675-person-3,R. Chenna,
A5062243310,Paul McGettigan,https://orcid.org/0000-0001-5815-8394
A5002029117,F. Valentin,
